date,symbol,open,high,low,close,volume
2026-02-19,005930,188000.0,190900.0,187100.0,190000.0,27049388
2026-02-20,005930,190000.0,190300.0,188600.0,190100.0,24213880
2026-02-23,005930,194400.0,197600.0,190500.0,193000.0,26364684
2026-02-24,005930,193000.0,200000.0,192000.0,200000.0,28060617
2026-02-25,005930,202500.0,206000.0,201000.0,203500.0,26987996
2026-02-26,005930,206500.0,219000.0,206000.0,218000.0,30095763
2026-02-27,005930,210000.0,223000.0,210000.0,216500.0,51774768
2026-03-03,005930,209500.0,212500.0,195100.0,195100.0,54879010
2026-03-04,005930,184200.0,195900.0,171900.0,172200.0,89427954
2026-03-05,005930,195000.0,199700.0,188100.0,191600.0,53959129
2026-03-06,005930,186100.0,189700.0,181000.0,188200.0,29522650
2026-03-09,005930,173500.0,175500.0,167300.0,173500.0,43066020
2026-03-10,005930,187600.0,191500.0,184300.0,187900.0,33530170
2026-03-11,005930,193000.0,194800.0,187700.0,190000.0,24311356
2026-03-12,005930,186600.0,190000.0,185900.0,187900.0,20440753
2026-03-13,005930,180000.0,186200.0,179900.0,183500.0,19566331
2026-03-16,005930,184600.0,189000.0,183600.0,188700.0,19747901
2026-03-17,005930,198000.0,198000.0,193100.0,193900.0,20300082
2026-03-18,005930,200500.0,209000.0,199700.0,208500.0,25148481
2026-03-19,005930,199900.0,205000.0,199600.0,200500.0,19884483
2026-03-20,005930,202000.0,202500.0,199000.0,199400.0,35279762
2026-03-23,005930,190500.0,191200.0,186300.0,186300.0,30268173
2026-03-24,005930,195500.0,196000.0,185500.0,189700.0,25458914
2026-03-25,005930,193700.0,196400.0,189000.0,189000.0,22995904
2026-03-26,005930,185500.0,185900.0,178900.0,180100.0,32074131
2026-03-27,005930,172100.0,181700.0,172000.0,179700.0,29138966
2026-03-30,005930,171000.0,176650.0,170600.0,176300.0,22269147
2026-03-31,005930,170000.0,174700.0,167000.0,167200.0,38659593
2026-04-01,005930,179000.0,190800.0,178000.0,189600.0,32390251
2026-04-02,005930,192600.0,193600.0,175000.0,178400.0,38615231
2026-04-03,005930,184200.0,187200.0,182700.0,186200.0,20194447
2026-04-06,005930,190900.0,194600.0,190100.0,193100.0,20635958
2026-04-07,005930,202000.0,202500.0,192400.0,196500.0,30848053
2026-04-08,005930,214000.0,214500.0,207500.0,210500.0,35890973
2026-04-09,005930,207000.0,207500.0,202000.0,204000.0,42320839
2026-04-10,005930,208500.0,211000.0,205500.0,206000.0,18244459
2026-04-13,005930,198200.0,203000.0,198200.0,201000.0,19603415
2026-04-14,005930,208000.0,210000.0,205500.0,206500.0,23672078
2026-04-15,005930,215000.0,215500.0,210000.0,211000.0,24092884
2026-04-16,005930,212000.0,218000.0,210500.0,217500.0,21499788
2026-04-17,005930,217000.0,218000.0,215000.0,216000.0,18079322
2026-04-20,005930,214500.0,219000.0,213000.0,214500.0,17107741
2026-04-21,005930,218000.0,220000.0,216000.0,219000.0,16752132
2026-04-22,005930,218500.0,222500.0,215500.0,217500.0,16823480
2026-04-23,005930,223000.0,229500.0,216000.0,224500.0,34525485
2026-04-24,005930,224000.0,225000.0,216500.0,219500.0,19626666
2026-04-27,005930,220000.0,226000.0,218500.0,224500.0,22870374
2026-04-28,005930,224000.0,226000.0,221500.0,222000.0,18444490
2026-04-29,005930,219500.0,228000.0,218500.0,226000.0,20363756
2026-04-30,005930,229000.0,230000.0,220500.0,220500.0,22161975
2026-05-04,005930,228000.0,232500.0,224000.0,232500.0,32920816
2026-05-06,005930,254000.0,270000.0,251000.0,266000.0,53097996
2026-05-07,005930,272000.0,277000.0,260000.0,271500.0,41404687
2026-05-08,005930,260000.0,270000.0,260000.0,268500.0,25875880
2026-05-11,005930,284500.0,288500.0,280000.0,285500.0,36031094
2026-05-12,005930,290000.0,291500.0,266000.0,279000.0,41211149
2026-05-13,005930,264000.0,285500.0,262000.0,284000.0,35540134
2026-05-14,005930,282000.0,299500.0,282000.0,296000.0,39314752
2026-05-15,005930,291000.0,296500.0,266000.0,270500.0,38075487
2026-05-18,005930,269500.0,288500.0,262000.0,281000.0,33555214
2026-05-19,005930,274000.0,281500.0,266000.0,275500.0,30767569
2026-05-20,005930,278000.0,282500.0,263500.0,276000.0,35662077
2026-05-21,005930,291000.0,299500.0,287000.0,299500.0,36168689
2026-05-22,005930,300000.0,300500.0,292000.0,292500.0,18395274
2026-05-26,005930,298000.0,302000.0,297500.0,299000.0,21773154
2025-05-27,NVDA,134.14999389648438,135.66000366210938,133.30999755859375,135.5,192953600
